2-theta,Experimental XRD,Fit,Difference,Background
1.50000E+1,6.09000E+2,6.15139E+2,-6.13947E+0,6.15139E+2
1.50200E+1,6.12000E+2,6.14135E+2,-2.13483E+0,6.14135E+2
1.50400E+1,6.73000E+2,6.13132E+2,5.98679E+1,6.13132E+2
1.50600E+1,6.19000E+2,6.12131E+2,6.86896E+0,6.12131E+2
1.50800E+1,6.27000E+2,6.11131E+2,1.58687E+1,6.11131E+2
1.51000E+1,6.09000E+2,6.10133E+2,-1.13300E+0,6.10133E+2
1.51200E+1,5.49000E+2,6.09136E+2,-6.01360E+1,6.09136E+2
1.51400E+1,6.35000E+2,6.08141E+2,2.68594E+1,6.08141E+2
1.51600E+1,6.49000E+2,6.07147E+2,4.18533E+1,6.07147E+2
1.51800E+1,6.27000E+2,6.06154E+2,2.08462E+1,6.06154E+2
1.52000E+1,5.69000E+2,6.05163E+2,-3.61630E+1,6.05163E+2
1.52200E+1,6.02000E+2,6.04173E+2,-2.17310E+0,6.04173E+2
1.52400E+1,5.91000E+2,6.03185E+2,-1.21850E+1,6.03185E+2
1.52600E+1,6.14000E+2,6.02198E+2,1.18018E+1,6.02198E+2
1.52800E+1,5.98000E+2,6.01213E+2,-3.21277E+0,6.01213E+2
1.53000E+1,6.00000E+2,6.00229E+2,-2.28882E-1,6.00229E+2
1.53200E+1,5.81000E+2,5.99246E+2,-1.82463E+1,5.99246E+2
1.53400E+1,5.96000E+2,5.98265E+2,-2.26538E+0,5.98265E+2
1.53600E+1,5.88000E+2,5.97286E+2,-9.28589E+0,5.97286E+2
1.53800E+1,6.01000E+2,5.96308E+2,4.69238E+0,5.96308E+2
1.54000E+1,6.06000E+2,5.95331E+2,1.06692E+1,5.95331E+2
1.54200E+1,6.33000E+2,5.94356E+2,3.86445E+1,5.94356E+2
1.54400E+1,6.14000E+2,5.93382E+2,2.06181E+1,5.93382E+2
1.54600E+1,5.98000E+2,5.92409E+2,5.59058E+0,5.92409E+2
1.54800E+1,6.24000E+2,5.91439E+2,3.25615E+1,5.91439E+2
1.55000E+1,6.26000E+2,5.90469E+2,3.55311E+1,5.90469E+2
1.55200E+1,5.98000E+2,5.89501E+2,8.49945E+0,5.89501E+2
1.55400E+1,5.39000E+2,5.88534E+2,-4.95341E+1,5.88534E+2
1.55600E+1,5.74000E+2,5.87569E+2,-1.35689E+1,5.87569E+2
1.55800E+1,5.62000E+2,5.86605E+2,-2.46053E+1,5.86605E+2
1.56000E+1,6.12000E+2,5.85643E+2,2.63572E+1,5.85643E+2
1.56200E+1,6.20000E+2,5.84682E+2,3.53184E+1,5.84682E+2
